Data Scientist (Senior),https://hh.ru/vacancy/75725671,3–6 лет,з/п не указана,"Полная занятость, удаленная работа","билайн: ИТ, Data, Digital","Проект: Билайн ТВ Основная роль Data Scientist:  Решать бизнес-задачи с помощью анализа данных и машинного обучения; Проводить поиск, выгрузку, статистический анализ и обработку данных; Строить и валидировать модели машинного обучения, с акцентом на развитие рекомендательной системы продукта; Участвовать во внедрении DS-решений в бизнес-процессы.  Мы рассчитываем, что у тебя есть опыт и знания для этой позиции:  Реальный опыт построения коммерческих рекомендательных систем. Желательно - в области ТВ и видео  Уверенное владение Python и основными ML-библиотеками (numpy, pandas, sklearn, lightgbm и т.п.); Понимание классических методов и алгоритмов машинного обучения, опыт их применения на практике; Хорошее знание SQL и умение копаться в источниках, опыт работы с инструментами экосистемы Hadoop (hive, spark); Умение переложить бизнес-задачу на язык анализа данных, подобрать соответствующий алгоритм с учетом требований и ограничений, интерпретировать результат; Хорошее знание теории вероятностей и математической статистики   ","['Python', 'Spark', 'SQL', 'Hadoop']"
Data Engineer,https://hh.ru/vacancy/75521908,1–3 года,з/п не указана,"Полная занятость, полный день","билайн: ИТ, Data, Digital","Задачи:  анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, data scientist-ами); поиск и исследование источников данных для последующей интеграции; оценка пригодности, качества исходных данных; разработка ETL процессов на Spark; оркестрация ETL процессов в Airflow; проектирование баз данных; создание конвейеров данных NiFi.  В своей работе DE используют следующий стек технологий:  экосистема Hadoop – HDFS, YARN, Hive, HBase; ETL-процессы – Spark (Scala); потоковая обработка – NiFi, Flink; брокер сообщений – Kafka; оркестрация ETL процессов – Airflow; СУБД – PostgreSQL, Greenplum, Aerospike, Oracle, SQL Server; CI/CD – GitLab.  Требования:  опыт разработки на Spark, Scala от 2 лет; знание стека: Hadoop, Airflow, PostgreSQL, Kafka ","['Hadoop', 'Hive', 'Linux', 'SQL', 'PostgreSQL', 'Spark', 'SCALA', 'Git', 'Java']"
Data Scientist middle+/Senior,https://hh.ru/vacancy/76032045,3–6 лет,от 250000 до 350000 руб. на руки,"Полная занятость, полный день",ИП Мамаева Ирина Анатольевна,"Немного о компании, в которую ищем Data Scientista: Наши продукты - AI/ML-решения для крупных банков, ритейла и промышленности: системы предсказания спроса, сервисы персонализации и рекомендательные системы, поисковые системы для крупных ритейлеров и банков. Основные задачи: • Моделирование и обработка данных на Python для извлечения бизнес-ценности из данных; • Глубокое обсуждение задач и методов их решения совместно с коллегами и бизнес-заказчиками; • Построение воспроизводимых и переиспользуемых решений для работы с данными и моделями; Наши ожидания от кандидатов:   Опыт использования ml библиотек на Python (бустинг, нейронные сети и др.) и понимание особенностей реализации различных аспектов алгоритмов в коде;   Опыт работы на позиции, связанной с промышленной разработкой;   Понимание методов машинного обучения с точки зрения математики и умение адаптировать их под конкретные задачи;   Опыт работы с Spark, Pyspark, Pandas, SQL, Hive и др.;   Опыт проработки задачи от бизнес-постановки до математической формулировки и реализации в коде;   Опыт автоматизации пайплайнов работы с данными (Airflow и др.) и навыки devops (Docker, Kubernetes и др.)   Наше предложение: • Возможность работы как в офисе Мск, так и из любой точки мира; • Рассматриваем вилку 250 000 - 350 000 на руки; • Участие в быстром росте компании, работающей на перспективном AI рынке; • Поддержка кандидата в профессиональном и карьерном росте; • Совместная работа с опытными разработчиками, аналитиками данных, data инженерами, продуктологами; • ДМС по всей России со стоматологией (РФ).","['Spark', 'Python', 'SQL', 'Machine Learning', 'Машинное обучение', 'Docker', 'Pandas', 'ML', 'airflow']"
Data Scientist (RecSys),https://hh.ru/vacancy/74300340,3–6 лет,з/п не указана,"Полная занятость, удаленная работа",Домклик,"DomClick.ru – единственный в России продукт, обеспечивающий полный цикл операций с недвижимостью. Доступен на всех популярных платформах (Web, iOS, Android), 450 сервисов, 2000 запросов в секунду. Чем предстоит заниматься: Команда занимается разработкой рекомендательных систем для всех сервисов компании. Сейчас основными задачами являются обновление основных моделей умного поиска недвижимости, персональных подборок и рекомендаций статей. Имеется пул задач, связанных с персонализацией контента. От вас мы ожидаем:  опыт полного цикла решения ML задачи (от 2 лет); хорошее знание Python и SQL; владение стандартным DS-стеком и одним из DL-фреймворком (keras/pytorch); понимание основ рекомендательных систем и методов их оценки; опыт проведения A/B тестов и понимание теоретических основ; базовая математическая (линейная алгебра, теорвер, матстаты, методы оптимизации) и алгоритмическая (алгоритмы, структуры данных) подготовка.  Будут плюсом:  высшее образование в топ вузе; успешный опыт участия в соревнованиях; практический опыт запуска рекомендательных систем; знания и реализованные NLP/CV проекты; опыт работы с docker, airflow, clickhouse; опыт написания unit-тестов, разработки архитектуры и code review.  Мы предлагаем:  работу в аккредитованной IT компании; конкурентную заработную плату; полис ДМС с первого месяца работы; корпоративный университет, онлайн-курсы для повышения квалификации, конференции, митапы; фитнес-зал в здании офиса; льготную программу ипотеки для сотрудников; MacBook (или другой ноутбук на выбор) + дополнительные мониторы и т.д.; комфортный офис класса А в 5 минутах от станции метро и МЦК Кутузовская; гибкое начало рабочего дня и возможность работать в гибридном или удаленном формате. ","['Python', 'SQL', 'PyTorch', 'Математическая статистика', 'Keras']"
Data Scientist (Econometrics),https://hh.ru/vacancy/75639360,3–6 лет,от 250000 руб. на руки,"Проектная работа/разовое задание, удаленная работа",ИП Калистый Кирилл Григорьевич,"We are a startup. We are thinking about creating an opportunity for people to monetize their attention. Our vision is to create new employment for people. When we put our plan into practice, people will be able to choose whether to earn the old way or to sell their attention. We intend to make the level of income from sales of one’s attention more than the usual payroll. To search for new knowledge in the data flow, we are opening a vacancy — data scientist. You have to search for data streams and extract new knowledge from them so that we see more and further than peers. Responsibilities:— Validation of models;— Building forecasts;— Building machine learning models;— Teamwork (with related experts);— Search for nontrivial dependencies and objective laws;— Search for data sources (finance and economics);— Presentation of the results of the work;— Software media monitoring;— Preparation of data for analysis;— Data visualization. Requirements:— Higher education;— Willingness/ability to work in a team;— Сonfident knowledge of mathematical tools;— Fluency in English and Russian;— Confident programming (one of C/C++, Python, R) and knowledge of the libraries;— Practical use of cloud services;— Practical acquaintance with SQL/NoSQL, DWH, ETL;— Knowledge of the basics of the work of a data engineer;— Familiarity with econometrics;— Ability to see the business behind the data. Conditions:— Remote/remote work;— Environment of talented professionals;— Kind colleagues and leaders;— The ruble exchange rate can be bonded to another currency;— Relocation from Russia and/or official military deferment is possible;— A project that can change people's lives for the better;— Quarterly and annual bonuses;— Participation in the project from scratch;— Monthly income;— Free schedule;— Career growth.To be considered for the interview, you'll need to complete a test task. It is a small laboratory research. Details in private messages on the site hh.ru.","['C', 'C++', 'Python', 'R', 'Libraries', 'SQL', 'NoSQL', 'DWH', 'ETL', 'Econometrics', 'Data Engineering', 'Английский — C2 — В совершенстве', 'Русский — C2 — В совершенстве']"
Senior Data Scientist,https://hh.ru/vacancy/72736422,3–6 лет,з/п не указана,"Полная занятость, полный день",Сбер. Data Science,"Наша команда Департамента развития корпоративного бизнеса разрабатывает ML модели в следующих направлениях:  предотвращение оттока оценка CLTV омниканальная рекомендательная система котирование кредитов и депозитов и т.д. отраслевые модели классификация комментариев, обратной связи оценка силы связи в графе  Обязанности В роли Senior Data Scientist вы будете отвечать за end-to-end процесс создания data-продукта, от исследования релевантных данных, построения и проверки гипотез, создания признаков до тестирования и подготовки готового продукта к промышленной эксплуатации Требования  Высшее образование в области компьютерных наук, статистики, прикладной математики или другой релевантной области Глубокое понимание статистических подходов и методов (регрессия, свойства распределений, проверка гипотез и их правильное использование) и опыт их применения Свободное владение основными DS библиотеками на Python (pandas, numpy, scikit-learn, pytorch, lightgbm) Опыт применения алгоритмов машинного обучения (GLM/Regression, Trees, Random Forest, Boosting), понимание их преимуществ, недостатков и ограничений Достойный уровень инженерной культуры (умение писать адекватный код за вменяемое время, использовать контроль версий) Опыт с языком SQL, навыки работы с Apache Spark Английский язык (устный и письменный) как преимущество Опыт в распределённых/параллельных вычислениях с помощью следующих технологий: Hadoop, Spark, Dask и другие как преимущество Стремление вникнуть в бизнес соответствующей отрасли Умение общаться с бизнес-заказчиком, слышать собеседника и доказывать свою точку зрения  Условия  Развитая IT архитектура Комфортный офис, большой выбор вариантов по питанию, бесплатный фитнес в офисе Скидки на продукты банка и экосистемы Постоянное развитие: обучающие курсы от лучших университетов и компаний (МФТИ, ВШЭ, NVIDIA и другие), участие в международных конференциях Развитое DS community, регулярные митапы, дайджесты и конференции ","['Python', 'SQL', 'Машинное обучение', 'Spark', 'Hadoop', 'Machine Learning']"
Аналитик данных / Data Scientist,https://hh.ru/vacancy/75689359,не требуется,з/п не указана,"Полная занятость, полный день",ЭКОПСИ Консалтинг,"Мы — Digital Assessment, часть компании ЭКОПСИ, лидера российского рынка HR-консалтинга. Наши заказчики – крупнейшие работодатели России, которые с успехом используют наши продукты и услуги для решения своих бизнес-задач. Разрабатываем все цифровые инструменты оценки персонала — от традиционных тестов и опросников до виртуального центра оценки и инновационных технологий, основанных на машинном обучении. Ищем к себе в команду близкого нам по духу Аналитика данных. Обязанности:  Анализ результатов проектов и разработка рекомендаций по улучшению оценочных инструментов Работа с психометрическими данными, внедрение IRT в тесты Работа с ML (деревья, бустинг)    ТребованияОбязательно! Опыт анализа данных в R – предобработка в tidyverse, регрессионный / факторный анализ / SEM (psych, lavaan) Будет преимуществом:  Работа с gbm / random forest Работа с Natural language processing Работа в Python и разработка нейронных сетей (pandas, tensorflow, keras)Работа с психометрическими данными  А также:  Образование высшее: социальные науки (психология / социология / экономика) или IT / математика / физика Знание английского (чтение профессиональной литературы) Высокий уровень самостоятельности и ответственности    Что вы получаете, работая с нами:  Разнообразие – практически каждый наш аналитический проект или продукт – уникален В процессе работы над проектами вы сможете освоить много новых технологи Свободу и самостоятельность Мы – консалтинговая компания, а значит только уровень и уникальность вашей экспертизы определит уровень вашего дохода Гибкость – можно устроиться как на фул-, так и на парт-тайм, можно работать из дома, но иногда нужно бывать в офисе  Условия«Белая» компания, оформление по ТК РФ, соцпакет, ДМС после испытательного срока Карьерный рост до руководителя продукта (свой продукт, связанный с аналитикой или тестами)/ руководителя аналитики в практике (своя зона ответственности) Современный стильный офис в 10 минутах от м. «Дмитровская»","['Python', 'Tensorflow', 'Pandas', 'SQL', 'Английский язык', 'R', 'Регрессионный анализ', 'Факторный анализ', 'Data Analysis', 'ML', 'IRT', 'Анализ данных', 'Английский — B1 — Средний']"
АККРЕДИТОВАННАЯ КОМПАНИЯ Data Scientist / Python разработчик,https://hh.ru/vacancy/48411370,не требуется,з/п не указана,"Полная занятость, полный день",ЗАЗЕКС,"Наша компания занимается предоставлением полного спектра услуг по разработке ПО для заказчиков со всего мира. Компания состоит из двух офисов – девелоперский центр в Ростове-на-Дону (он же головной офис) и офис продаж в Мельбурне, Австралия. Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, разработки в области data science, проектирования, тестирования и создания графического дизайна. Мы приглашаем на работу разработчиков в отдел Data Science в головной офис в Ростове-на-Дону. Если Вам интересно заниматься инновационными разработками, если Вы хотите работать над сложными задачами, решение которых еще не было найдено, если Вы любите науку и хотите развиваться, эта работа для Вас! Рассматриваем соискателей только на работу в офисе. Удаленного формата работы нет. Требования:  знания и опыт разработки Python; опыт работы с различными научными и специализированными пакетами (numpy, scipy, matplotlib, pandas, TensorFlow и т.д.); работа на различных версиях среды разработки не должна представлять для вас проблем; знание базовых алгоритмов и структур данных, понимание принципов оценки эффективности алгоритмов; приветствуются базовые знания в одной или нескольких из следующих областей:- компьютерное зрение, обработка изображений;- обработка текстов на естественных языках;- работа со звуком;- машинное обучение;- обработка сигналов;- математическое моделирование. желание развиваться в области прикладной математики, машинного обучения и программирования; умение быстро искать информацию в интернете; умение разбираться в чужом коде; английский на уровне чтения профессиональной литературы (по математике и программированию), а также написания технической документации; желательно наличие примеров написанных программ; ответственность; обучаемость; умение работать в команде.  ​​​​Условия:  зарплата обсуждается по итогам технического собеседования и зависит от Вашего текущего уровня знаний; оформление согласно Трудовому Кодексу РФ; только крупные и сложные проекты; работа с инновационными технологиями, о которых другие компании боятся даже подумать; большое количество коллег по цеху, скучать не будете; система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); оплачиваемые переработки для ""трудоголиков"" (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); возможность корпоративного обучения; полный соц. пакет; достойная заработная плата; уважительное отношение к сотрудникам; корпоративное такси; свой повар + своя столовая; огромный современный офис с большим количеством зелени; неограниченная парковка для сотрудников компании; бесплатные снэки (перекусы); доступный досуг (настольный футбол‚ PlayStation VR‚ Sega Mega Drive 2, турник‚ брусья‚ электрогитара‚ басуха‚ пианино, массажное кресло Yamaguchi YA-6000, свежий воздух); офис вблизи транспортной развязки ""Квадро""; восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; все вышеперечисленное - правда. ","['Python', 'MATLAB', 'Математический анализ', 'Математическое моделирование', 'Математическое программирование', 'Математическая статистика', 'Pandas', 'Machine Learning', 'Numpy', 'Data Analysis', 'Matplotlib', 'SciPy', 'Deep Learning', 'Data Science', 'Машинное обучение', 'Scikit-learn', 'Maple', 'Mathematical Analysis', 'PyTorch', 'Mathematical Modeling', 'sklearn', 'Tensorflow', 'Keras', 'Computer Vision']"
Data scientist (Дирекция рисков),https://hh.ru/vacancy/73472420,1–3 года,з/п не указана,"Полная занятость, полный день",Банк Русский Стандарт,"Обязанности:  Разработка, валидация и мониторинг заявочных и поведенческих моделей оценки кредитного риска на внутренних данных Банка и данных внешних источников. Участи в тестировании при внедрении моделей; Поиск, сбор и валидация новых источников данных; Анализ входящего потока заявок и выданного кредитного портфеля; Разработка и внедрение новых подходов и моделей оценки кредитного риска; Выполнение ad-hoc запросов.  Требования:  Высшее математическое/ техническое/ экономическое образование; Знание теории вероятности, математической статистики, методов машинного обучения; Уверенные навыки программирования на Python, знания основных библиотек для анализа данных и машинного обучения; Уверенные знания SQL.  Условия:  Достойный уровень оплаты труда, обсуждается индивидуально по итогам собеседования с руководителем; ДМС; Официальное трудоустройство (согласно ТК РФ); График работы: 5/2, 9:00-18:00 (обсуждаемо). Готовы предложить различные форматы работы: в офисе (ст. м. Партизанская, ул. Ткацкая, 36), гибридный график, постоянную удаленную работу в любом городе РФ; Корпоративные скидки сотрудникам от компаний – партнеров (спорт, красота, здоровье, путешествия, рестораны и прочее). Корпоративный волейбол, футбол; Офис располагается в шаговой доступности от ст.м. ""Партизанская"", МЦК - ""Измайлово"" (7 мин.). ","['SQL', 'Python']"
Data scientist,https://hh.ru/vacancy/74376536,3–6 лет,от 200000 до 240000 руб. на руки,"Полная занятость, удаленная работа",Астор,"Обязанности:  Работа в команде по созданию модуля Data Science & AI, отвечающего за обработку данных, консолидированных в хранилище, и интеллектуальное обеспечение различных бизнес-процессов розничной компании. Анализ и обработка больших массивов структурированных и неструктурированных данных; Создание и развитие batch/real-time моделей персональных товарных предложений и рекомендаций для покупателей; развитие моделей сегментации и прогнозирования оттока; поиск структур в данных, прогнозирование спроса, оптимизация цен, распознавание изображений товаров, анализ тональности откликов, выявление мошенничества и пр.; Полный цикл (data collection, feature engineering, model fitting, model management, visualization, model serving) создания набора моделей на основе транзакционной и поведенческой информации; Участие в разработке и стандартизации ML-пайплайнов; Еxperiment и code-review.  Требования:  Опыт работы на позиции data scientist от 2ух лет; Знание основных алгоритмов и метрик машинного обучения; Ключевые навыки: Python, SQL, ML; Практические навыки работы с рекомендательными системами: знание архитектур и алгоритмов в основе collaborative filtering / content based / hybrid recommender systems; Аналитические способности и логическое мышление; Знание математической статистики и теории вероятности; Умение объяснять и адаптировать сложные системы и технические термины к ясной лаконичной форме для нетехнических специалистов; Умение работать в команде на результат; Внимательность; Ответственность; Целеустремлённость; Знание английского языка на уровне чтения технических материалов.  Приветствуется:  Опыт работы в компаниях в сфере розничной торговли; Образование - МФТИ, МГТУ им. Баумана, МГУ, СПбГУ, Сколтех, НГУ; Достижения по итогам участия в олимпиадах по техническим дисциплинам (математика, программирование, физика); Практические навыки работы с Deep Learning фреймворками PyTorch, TensorFlow и пр.; Участие в соревнованиях по решению задач с помощью машинного обучения (Kaggle, RecSys пр.); Участие в разработке opensourсe библиотек, пройденные за последний год оффлайн и онлайн курсы (coursera, udemy и пр.); Желателен опыт работы со Spark, Scala, Airflow.  Условия:  работа в аккредитованной IT-компании Оформление по ТК РФ График работы - гибкий, с учетом часовых поясов Перспективы профессионального роста (рост в зарплате и по карьерной лестнице) Возможна удаленная работа из-за границы, в том числе из Турции, Грузии, Армении, Казахстан, Узбекистан и др. ","['Python', 'PyTorch', 'Machine Learning', 'Spark', 'SQL']"
